trade_num,entry_time,exit_time,direction,entry_price,exit_price,position_usd,pnl,win,exit_reason,bars_held,session
7890,2023-10-12 14:35:00,2023-10-12 15:05:00,LONG,26640.0,26709.53,1800,4.5,True,TP,6,NY open
7891,2023-10-12 15:25:00,2023-10-12 15:45:00,LONG,26655.67,26632.28,1800,-1.44,False,SL,4,NY open
7892,2023-10-13 08:35:00,2023-10-13 08:50:00,LONG,26820.15,26796.35,1800,-1.44,False,SL,3,London open
7893,2023-10-13 08:50:00,2023-10-13 09:25:00,LONG,26796.35,26821.03,1800,1.66,True,TIME,7,London open
7894,2023-10-13 09:35:00,2023-10-13 09:55:00,LONG,26780.46,26738.05,1800,-1.44,False,SL,4,London open
7895,2023-10-13 09:55:00,2023-10-13 10:30:00,LONG,26738.05,26786.0,1800,3.23,True,TIME,7,out of session
7896,2023-10-13 14:00:00,2023-10-13 14:15:00,LONG,26835.86,26807.61,1800,-1.44,False,SL,3,NY open
7897,2023-10-13 14:15:00,2023-10-13 14:50:00,LONG,26807.61,26779.99,1800,-1.44,False,SL,7,NY open
7898,2023-10-13 14:50:00,2023-10-13 14:55:00,LONG,26779.99,26757.09,1800,-1.44,False,SL,1,NY open
7899,2023-10-13 14:55:00,2023-10-13 15:20:00,LONG,26757.09,26706.45,1800,-1.44,False,SL,5,NY open
7900,2023-10-13 15:20:00,2023-10-13 15:55:00,LONG,26706.45,26706.83,1800,0.03,True,TIME,7,NY open
7901,2023-10-13 15:55:00,2023-10-13 16:25:00,LONG,26706.83,26777.5,1800,4.5,True,TP,6,NY open
7902,2023-10-14 07:00:00,2023-10-14 07:35:00,LONG,26845.61,26866.43,1800,1.4,True,TIME,7,London open
7903,2023-10-16 08:25:00,2023-10-16 09:00:00,LONG,27821.89,27792.97,1800,-1.44,False,SL,7,London open
7904,2023-10-16 09:05:00,2023-10-16 09:15:00,LONG,27695.44,27670.5,1800,-1.44,False,SL,2,London open
7905,2023-10-16 09:15:00,2023-10-16 09:35:00,LONG,27670.5,27745.05,1800,4.5,True,TP,4,London open
7906,2023-10-17 13:30:00,2023-10-17 13:45:00,LONG,28245.23,28182.13,1800,-1.44,False,SL,3,NY open
7907,2023-10-17 13:45:00,2023-10-17 13:50:00,LONG,28182.13,28292.22,1800,4.5,True,TP,1,NY open
7908,2023-10-18 07:05:00,2023-10-18 07:40:00,LONG,28573.27,28561.44,1800,-0.75,False,TIME,7,London open
7909,2023-10-18 07:40:00,2023-10-18 07:45:00,LONG,28561.44,28490.0,1800,-1.44,False,SL,1,London open
7910,2023-10-18 07:45:00,2023-10-18 08:20:00,LONG,28490.0,28522.88,1800,2.08,True,TIME,7,London open
7911,2023-10-18 09:55:00,2023-10-18 10:00:00,LONG,28267.58,28351.99,1800,4.5,True,TP,1,out of session
7912,2023-10-18 14:25:00,2023-10-18 14:35:00,LONG,28283.18,28224.7,1800,-1.44,False,SL,2,NY open
7913,2023-10-18 14:35:00,2023-10-18 14:40:00,LONG,28224.7,28188.68,1800,-1.44,False,SL,1,NY open
7914,2023-10-18 14:40:00,2023-10-18 15:15:00,LONG,28188.68,28254.68,1800,4.21,True,TIME,7,NY open
7915,2023-10-19 07:10:00,2023-10-19 07:45:00,LONG,28262.96,28310.0,1800,3.0,True,TIME,7,London open
7916,2023-10-21 08:05:00,2023-10-21 08:40:00,LONG,29662.01,29675.0,1800,0.79,True,TIME,7,London open
7917,2023-10-21 09:00:00,2023-10-21 09:35:00,LONG,29650.01,29676.62,1800,1.62,True,TIME,7,London open
7918,2023-10-22 07:10:00,2023-10-22 07:25:00,LONG,29979.18,29947.04,1800,-1.44,False,SL,3,London open
7919,2023-10-22 07:25:00,2023-10-22 07:30:00,LONG,29947.04,29910.0,1800,-1.44,False,SL,1,London open
7920,2023-10-22 07:30:00,2023-10-22 07:35:00,LONG,29910.0,29875.95,1800,-1.44,False,SL,1,London open
7921,2023-10-22 07:35:00,2023-10-22 07:40:00,LONG,29875.95,29753.2,1800,-1.44,False,SL,1,London open
7922,2023-10-22 07:40:00,2023-10-22 08:00:00,LONG,29753.2,29845.01,1800,4.5,True,TP,4,London open
7923,2023-10-22 14:35:00,2023-10-22 14:45:00,LONG,29862.67,29824.21,1800,-1.44,False,SL,2,NY open
7924,2023-10-22 14:45:00,2023-10-22 15:20:00,LONG,29824.21,29861.9,1800,2.27,True,TIME,7,NY open
7925,2023-10-22 15:45:00,2023-10-22 16:20:00,LONG,29800.49,29863.42,1800,3.8,True,TIME,7,NY open
7926,2023-10-23 07:10:00,2023-10-23 07:30:00,LONG,30654.25,30737.23,1800,4.5,True,TP,4,London open
7927,2023-10-23 07:50:00,2023-10-23 08:05:00,LONG,30447.51,30544.27,1800,4.5,True,TP,3,London open
7928,2023-10-23 08:20:00,2023-10-23 08:45:00,LONG,30518.77,30599.53,1800,4.5,True,TP,5,London open
7929,2023-10-23 09:45:00,2023-10-23 10:15:00,LONG,30418.95,30504.76,1800,4.5,True,TP,6,out of session
7930,2023-10-23 13:30:00,2023-10-23 13:45:00,LONG,30487.9,30625.34,1800,4.5,True,TP,3,NY open
7931,2023-10-24 07:25:00,2023-10-24 07:40:00,LONG,33739.99,33888.78,1800,4.5,True,TP,3,London open
7932,2023-10-24 13:45:00,2023-10-24 13:50:00,LONG,34376.03,34339.22,1800,-1.44,False,SL,1,NY open
7933,2023-10-24 13:50:00,2023-10-24 13:55:00,LONG,34339.22,34431.19,1800,4.5,True,TP,1,NY open
7934,2023-10-24 14:15:00,2023-10-24 14:25:00,LONG,34173.53,34260.75,1800,4.5,True,TP,2,NY open
7935,2023-10-24 14:30:00,2023-10-24 14:35:00,LONG,34160.84,34307.99,1800,4.5,True,TP,1,NY open
7936,2023-10-24 15:15:00,2023-10-24 15:20:00,LONG,34035.68,33881.17,1800,-1.44,False,SL,1,NY open
7937,2023-10-24 15:20:00,2023-10-24 15:25:00,LONG,33881.17,33620.28,1800,-1.44,False,SL,1,NY open
7938,2023-10-24 15:25:00,2023-10-24 15:30:00,LONG,33620.28,33725.23,1800,4.5,True,TP,1,NY open
7939,2023-10-24 15:30:00,2023-10-24 15:35:00,LONG,33725.23,33291.33,1800,-1.44,False,SL,1,NY open
7940,2023-10-24 15:35:00,2023-10-24 15:40:00,LONG,33291.33,33500.01,1800,4.5,True,TP,1,NY open
7941,2023-10-24 15:40:00,2023-10-24 15:45:00,LONG,33500.01,33766.11,1800,4.5,True,TP,1,NY open
