date,entry,exit_price,pnl,win,bars_held,stop_hit,tp_hit,score,rsi,bb_pct,bb_width,vwap_dist,vol_spike,mom3,atr_pct,hour,weekday,above_ema50,above_ema200,ema50_gt_200,fresh_cross,below_vwap
2023-11-30 10:55,37680.01,37797.2,0.311,True,8,False,True,2.0,38.36,-0.028,0.0021,-0.00107,0.92,-0.0021,0.00059,10,3,0,0,0,0,1
2023-11-30 13:05,37804.45,37913.34,0.288,True,7,False,True,3.5,32.78,0.132,0.0037,-0.00144,1.13,-0.00208,0.00111,13,3,0,0,0,0,1
2023-11-30 13:50,37694.01,37586.37,-0.2856,False,2,True,False,2.0,36.05,-0.286,0.0052,-0.00383,3.65,-0.00517,0.00157,13,3,0,0,0,0,1
2023-11-30 14:00,37586.37,37717.88,0.3499,True,2,False,True,3.0,28.02,-0.258,0.0084,-0.00456,5.64,-0.00621,0.00212,14,3,0,0,0,0,1
2023-11-30 14:35,37641.19,37601.1,-0.1065,False,6,True,False,3.0,32.75,0.149,0.0098,-0.00216,0.55,-0.00251,0.00262,14,3,0,0,0,0,1
2023-11-30 15:05,37601.1,37699.98,0.263,True,2,False,True,2.0,38.97,0.198,0.0099,-0.00241,0.76,-0.00229,0.00228,15,3,0,0,0,0,1
2023-11-30 15:35,37601.1,37537.75,-0.1685,False,2,True,False,2.0,39.07,0.137,0.0051,-0.0014,0.7,-0.00332,0.00198,15,3,0,0,0,0,1
2023-11-30 15:45,37537.75,37643.96,0.2829,True,5,False,True,2.0,40.95,-0.056,0.0061,-0.0033,1.49,-0.00411,0.00185,15,3,0,0,0,0,1
2023-11-30 19:05,37701.06,37795.99,0.2518,True,5,False,True,2.5,42.43,0.143,0.003,-0.0012,1.05,-0.00058,0.00081,19,3,0,0,0,0,1
2023-11-30 20:25,37699.95,37800.01,0.2654,True,21,False,True,2.0,43.8,0.112,0.003,-0.00112,1.44,-0.00089,0.00063,20,3,0,0,0,0,1
2023-12-01 08:30,38215.01,38314.66,0.2608,True,3,False,True,2.5,41.18,0.163,0.0044,-0.00167,0.7,-0.00326,0.00134,8,4,1,1,1,0,1
2023-12-01 10:55,38541.02,38645.82,0.2719,True,8,False,True,2.5,41.99,0.11,0.0058,-0.00291,0.51,-0.00139,0.0019,10,4,1,1,1,0,1
2023-12-01 12:10,38546.0,38494.83,-0.1328,False,2,True,False,2.0,48.49,0.156,0.003,-0.00105,0.96,-0.00089,0.00099,12,4,1,1,1,0,1
2023-12-01 12:20,38494.83,38375.17,-0.3108,False,4,True,False,2.0,38.18,-0.085,0.0038,-0.00204,2.58,-0.00156,0.00107,12,4,0,1,1,0,1
2023-12-01 12:40,38375.17,38336.24,-0.1014,False,6,True,False,3.0,25.01,-0.239,0.0065,-0.00426,3.05,-0.00427,0.00132,12,4,0,1,1,0,1
2023-12-01 13:10,38336.24,38280.14,-0.1463,False,11,True,False,3.0,19.38,0.125,0.0106,-0.00326,0.82,-0.00064,0.00148,13,4,0,1,1,0,1
2023-12-01 14:05,38280.14,38378.78,0.2577,True,6,False,True,2.0,41.13,0.001,0.0052,-0.00253,1.5,-0.00154,0.00151,14,4,0,1,1,0,1
2023-12-01 14:45,38278.17,38403.47,0.3273,True,3,False,True,2.0,39.09,0.186,0.0054,-0.00146,1.13,-0.00171,0.00176,14,4,0,1,1,0,1
2023-12-01 18:55,38703.69,38655.87,-0.1236,False,4,True,False,2.5,39.41,-0.034,0.0036,-0.00204,1.27,-0.00171,0.00169,18,4,1,1,1,0,1
2023-12-01 19:15,38655.87,38765.38,0.2833,True,6,False,True,3.0,32.44,-0.081,0.0049,-0.00308,0.75,-0.00134,0.00171,19,4,0,1,1,0,1
2023-12-04 07:40,41322.0,41441.1,0.2882,True,3,False,True,3.5,34.63,0.053,0.0081,-0.00409,1.23,-0.0048,0.00219,7,0,1,1,1,0,1
2023-12-04 09:55,41544.9,41677.48,0.3191,True,4,False,True,2.5,38.99,0.167,0.0068,-0.00205,2.12,-0.0032,0.00227,9,0,1,1,1,0,1
2023-12-04 11:10,41511.01,41615.02,0.2506,True,5,False,True,2.5,46.82,0.141,0.0162,-0.00651,4.72,-0.01113,0.00326,11,0,0,1,1,0,1
2023-12-04 11:35,41615.02,41500.0,-0.2764,False,2,True,False,2.0,42.24,0.341,0.0178,-0.00299,1.52,0.00179,0.00409,11,0,1,1,1,0,1
2023-12-04 11:45,41500.0,41679.99,0.4337,True,6,False,True,3.0,31.93,0.195,0.0181,-0.00559,0.75,-0.00141,0.0041,11,0,0,1,1,0,1
2023-12-04 14:05,41563.76,41681.09,0.2823,True,2,False,True,2.0,35.45,-0.014,0.0096,-0.00459,1.7,-0.00504,0.00231,14,0,0,1,1,0,1
2023-12-04 14:20,41574.38,41518.79,-0.1337,False,1,True,False,2.0,37.88,0.019,0.0097,-0.00446,0.78,0.00026,0.00247,14,0,0,1,1,0,1
2023-12-04 14:25,41518.79,41661.31,0.3433,True,5,False,True,3.0,27.73,-0.022,0.0111,-0.0057,1.02,-0.00145,0.00241,14,0,0,1,1,0,1
2023-12-04 15:15,41506.76,41435.02,-0.1728,False,2,True,False,2.0,45.57,0.196,0.0107,-0.00289,1.05,-0.0025,0.00207,15,0,0,1,1,0,1
2023-12-04 15:25,41435.02,41208.03,-0.5478,False,1,True,False,3.0,29.43,0.044,0.0087,-0.0035,2.0,-0.00291,0.00198,15,0,0,1,1,0,1
2023-12-04 15:30,41208.03,41449.33,0.5856,True,2,False,True,3.0,24.5,-0.273,0.0113,-0.00736,4.28,-0.0072,0.00226,15,0,0,1,1,0,1
2023-12-04 15:45,41350.1,41281.11,-0.1668,False,1,True,False,2.0,37.56,0.17,0.0125,-0.0025,0.64,0.00345,0.00276,15,0,0,1,1,0,1
2023-12-04 15:50,41281.11,41446.76,0.4013,True,7,False,True,3.0,31.72,0.097,0.0135,-0.00392,0.81,0.00079,0.00294,15,0,0,1,1,0,1
2023-12-04 20:45,41772.73,41726.29,-0.1112,False,5,True,False,2.5,42.24,0.017,0.005,-0.00278,0.99,-0.00208,0.00209,20,0,1,1,1,0,1
2023-12-05 07:00,41647.97,41584.08,-0.1534,False,1,True,False,3.0,13.31,0.038,0.0091,-0.00359,1.87,-0.0011,0.00126,7,1,0,0,1,0,1
2023-12-05 07:05,41584.08,41527.7,-0.1356,False,3,True,False,3.0,10.0,-0.022,0.0103,-0.00452,2.31,-0.00293,0.00136,7,1,0,0,1,0,1
2023-12-05 07:20,41527.7,41460.01,-0.163,False,3,True,False,3.0,10.92,0.065,0.0128,-0.00383,4.14,-0.00136,0.00173,7,1,0,0,1,0,1
2023-12-05 07:35,41460.01,41578.03,0.2847,True,5,False,True,3.0,14.22,0.084,0.0138,-0.00446,1.43,-0.00163,0.00174,7,1,0,0,1,0,1
2023-12-05 08:30,41466.4,41614.13,0.3563,True,5,False,True,2.0,43.7,0.159,0.0066,-0.00161,0.64,-0.00304,0.00153,8,1,0,0,0,0,1
2023-12-05 10:45,41638.56,41770.93,0.3179,True,16,False,True,2.5,40.65,0.074,0.0031,-0.00122,1.39,-0.00144,0.0008,10,1,0,0,0,0,1
2023-12-05 20:10,43691.34,43597.35,-0.2151,False,1,True,False,2.5,46.24,0.179,0.0066,-0.00243,0.44,-0.00281,0.00309,20,1,1,1,1,0,1
2023-12-05 20:15,43597.35,43555.65,-0.0956,False,1,True,False,2.5,40.4,-0.039,0.0073,-0.0044,0.55,-0.00296,0.0031,20,1,1,1,1,0,1
2023-12-05 20:20,43555.65,43500.09,-0.1276,False,1,True,False,2.5,36.32,-0.058,0.0081,-0.0041,2.34,-0.00503,0.00324,20,1,1,1,1,0,1
2023-12-05 20:25,43500.09,43628.9,0.2961,True,2,False,True,3.0,34.4,-0.074,0.0096,-0.00496,1.03,-0.00438,0.00322,20,1,1,1,1,0,1
